question,ground_truth,answer
Ariel was playing basketball. 1 of her shots went in the hoop. 2 of her shots did not go in the hoop. How many shots were there in total?,3,3 shots in total.
Adrianna has 10 pieces of gum to share with her friends. There wasn’t enough gum for all her friends; so she went to the store to get 3 more pieces of gum. How many pieces of gum does Adrianna have now?,13,13
Adrianna has 10 pieces of gum to share with her friends. There wasn’t enough gum for all her friends; so she went to the store and got 70 pieces of strawberry gum and 10 pieces of bubble gum. How many pieces of gum does Adrianna have now?,90,80 pieces of gum
The restaurant has 175 normal chairs and 20 chairs for babies. How many chairs does the restaurant have in total?,195,195
How many cookies did you sell if you sold 320 chocolate cookies and 270 vanilla cookies?,590,590
The hobby store normally sells 10;576 trading cards per month. In June; the hobby store sold 15;498 more trading cards than normal. In total; how many trading cards did the hobby store sell in June?,26074,26274
Billy had 2 books at home. He went to the library to take out 2 more books. He then bought 1 book. How many books does Billy have now?,5,Billy has 5 books now.
Ashley bought a big bag of candy. The bag had 102 blue candies; 100 red candies and 94 green candies. How many candies were there in total?,296,The total number of candies is 296.
There were 3 pizzas in total at the pizza shop. A customer bought 1 pizza. How many pizzas are left?,2,2
Your friend said she had 11 stickers. When you helped her clean her desk; she only had a total of 10 stickers. How many stickers are missing?,1,1
Adrianna has 100 pieces of gum to share with her friends. When she went to the park; she shared 10 pieces of strawberry gum. When she left the park; Adrianna shared another 10 pieces of bubble gum. How many pieces of gum does Adrianna have now?,80,80 pieces of gum
Your team scored a total of 123 points. 67 points were scored in the first half. How many were scored in the second half?,56,56 points
Nathan has a big ant farm. He decided to sell some of his ants. He started with 965 ants. He sold 213. How many ants does he have now?,752,965 - 213 = 752\nNathan now has 752 ants.
The hobby store normally sells 10;576 trading cards per month. In July; the hobby store sold a total of 20;777 trading cards. How many more trading cards did the hobby store sell in July compared with a normal month?,10199,10101
Charlene had a pack of 35 pencil crayons. She gave 6 to her friend Theresa. She gave 3 to her friend Mandy. How many pencil crayons does Charlene have left?,26,26
Ashley bought a big bag of candy to share with her friends. In total; there were 296 candies. She gave 105 candies to Marissa. She also gave 86 candies to Kayla. How many candies were left,105,105 candies + 86 candies = 191 candies\n296 candies - 191 candies = 105 candies left\nThe final answer is 105.
Adrianna needs to cut a pan of brownies into pieces. She cuts 6 even columns and 3 even rows into the pan. How many brownies does she have?,18,18
A movie theatre has 25 rows of seats with 20 seats in each row. How many seats are there in total?,500,The total number of seats is 25 rows × 20 seats\/row = 500 seats.
A clothing company has 4 different kinds of sweatshirts. Each year; the company makes 60;000 of each kind of sweatshirt. How many sweatshirts does the company make each year?,"240,000","The company makes 240,000 sweatshirts each year."
A bricklayer stacks bricks in 2 rows; with 10 bricks in each row. On top of each row; there is a stack of 6 bricks. How many bricks are there in total?,32,22
Cayley earns $5 an hour by delivering newspapers. She delivers newspapers 3 days each week; for 4 hours at a time. After delivering newspapers for 8 weeks; how much money will Cayley earn?,480,$5 per hour * 4 hours per day * 3 days per week * 8 weeks = $480
If you have 4 pieces of candy split evenly into 2 bags; how many pieces of candy are in each bag?,2,2 pieces of candy in each bag.
If you have 80 tickets for the fair and each ride costs 5 tickets; how many rides can you go on?,16,You can go on 16 rides.
The school has $20;000 to buy new computer equipment. If each piece of equipment costs $50; how many pieces can the school buy in total?,400,The school can buy 400 pieces of equipment in total.
Melissa buys 2 packs of tennis balls for $12 in total. All together; there are 6 tennis balls. How much does 1 pack of tennis balls cost? How much does 1 tennis ball cost?,$2,1 pack of tennis balls costs $6. \n1 tennis ball costs $2.
An Italian restaurant receives a shipment of 86 veal cutlets. If it takes 3 cutlets to make a dish; how many cutlets will the restaurant have left over after making as many dishes as possible?,2,The restaurant will have 2 cutlets left over.
There are 235 books in a library. On Monday; 123 books are taken out. On Tuesday; 56 books are brought back. How many books are there now?,158,There are 168 books now.
There is a group of 10 people who are ordering pizza. If each person gets 2 slices and each pizza has 4 slices; how many pizzas should they order?,5,20
Lana has 2 bags with 2 marbles in each bag. Markus has 2 bags with 3 marbles in each bag. How many more marbles does Markus have?,4,4
Lana has 3 bags with the same amount of marbles in them; totaling 12 marbles. Markus has 3 bags with the same amount of marbles in them; totaling 18 marbles. How many more marbles does Markus have in each bag?,2,2
There are 2 chalkboards in your classroom. If each chalkboard needs 2 pieces of chalk; how many pieces do you need in total?,4,4 pieces of chalk
There are 3 chalkboards in your classroom. Each chalkboard has 2 pieces of chalk. This means there are 6 pieces of chalk in total. If you take 1 piece of chalk away from each chalkboard; how many will there be in total?,3,"3 chalkboards with 1 piece of chalk each gives 3 total pieces of chalk taken. Therefore, there will be 3 pieces of chalk remaining."
What number is 6 tens and 10 ones?,70,70
I have a 7 in the tens place. I have an even number in the ones place. I am lower than 74. What number am I?,72,The number is 72.
In the hockey game; Mitchell scored more points than William but fewer points than Auston. Who scored the most points? Who scored the fewest points?,NaN,Auston scored the most points and William scored the fewest points.
Julia went to 10 houses on her street for Halloween. 5 of the houses gave her a chocolate bar. What fraction of houses on Julia’s street gave her a chocolate bar?,02-Jan,"5 out of 10 houses gave Julia a chocolate bar.\n\nSo, the fraction of houses that gave her a chocolate bar is 5\/10, which simplifies to 1\/2. \n\nTherefore, the fraction of houses that gave her a chocolate bar is 1\/2."
Heather is painting a portrait of her best friend; Lisa. To make it easier; she divides the portrait into 6 equal parts. What fraction represents each part of the portrait?,06-Jan,The fraction representing each part of the portrait is 1\/6.
Noah walks ? of a kilometre to school each day. He also walks ? of a kilometre to get home after school. How many kilometres does he walk in total?,2 km,"Noah walks 1 kilometer to school each day. He also walks 1 kilometer to get home after school. In total, he walks 2 kilometers."
Last week; Whitney counted the number of juice boxes she had for school lunches. She had ? of a case. This week; it’s down to ? of a case. How much of the case did Whitney drink?,06-Jan,Whitney drank 1\/6 of the case.
At lunchtime; an ice cream parlor served 6 ¼ scoops of chocolate ice cream; 5 ¾ scoops of vanilla and 2 ¾ scoops of strawberry. How many scoops of ice cream did the parlor serve in total?,14,14 scoops
For a party; Jaime had 5 ? bottles of cola for her friends to drink. She drank ? of a bottle herself. Her friends drank 3 ?. How many bottles of cola does Jaime have left?,2,Jaime has 1.5 bottles of cola left.
Kevin completed ½ of an assignment at school. When he was home that evening; he completed ? of another assignment. How many assignments did Kevin complete?,1.5,Kevin completed 1.5 assignments.
